[2026-02-11 21:56:40,318] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-02-11 21:56:41,227] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-02-11 21:56:42,141] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-11 21:56:42,147] 107 dagshub - INFO - Accessing as abhiramthota2210
[2026-02-11 21:56:43,088] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/abhiramthota2210/networksecurity "HTTP/1.1 200 OK"
[2026-02-11 21:56:43,962] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-11 21:56:43,965] 107 dagshub - INFO - Initialized MLflow to track repo "abhiramthota2210/networksecurity"
[2026-02-11 21:56:43,966] 107 dagshub - INFO - Repository abhiramthota2210/networksecurity initialized!
[2026-02-11 21:56:43,967] 17 root - INFO - Initiate data ingestion
[2026-02-11 21:56:48,424] 73 root - INFO - Performed train test split on the dataframe
[2026-02-11 21:56:48,424] 75 root - INFO - Excited split_data_as_train_test method of Data_Ingestion class
[2026-02-11 21:56:48,425] 79 root - INFO - Exporting train and test file path.
[2026-02-11 21:56:48,528] 84 root - INFO - Exported train and test path.
[2026-02-11 21:56:48,529] 20 root - INFO - Data initiation completed
[2026-02-11 21:56:48,558] 25 root - INFO - Initiate data validation
[2026-02-11 21:56:48,685] 36 root - INFO - Required number of columns: 2
[2026-02-11 21:56:48,685] 37 root - INFO - Dataframe has columns: 31
[2026-02-11 21:56:48,685] 36 root - INFO - Required number of columns: 2
[2026-02-11 21:56:48,685] 37 root - INFO - Dataframe has columns: 31
[2026-02-11 21:56:49,026] 28 root - INFO - Data validation completed
[2026-02-11 21:56:49,027] 29 root - INFO - Initiate data Transformation
[2026-02-11 21:56:49,027] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-02-11 21:56:49,027] 64 root - INFO - Starting data transformation
[2026-02-11 21:56:49,068] 47 root - INFO - Entered get_data_transformer_object method of Transforamation class
[2026-02-11 21:56:49,068] 53 root - INFO - Initialise inputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-11 21:56:49,096] 49 root - INFO - Entered the save_object method of Mainutils class
[2026-02-11 21:56:49,100] 53 root - INFO - Exited the save_object method of Mainutils class
[2026-02-11 21:56:49,102] 35 root - INFO - Completed Data Transformation
[2026-02-11 21:56:49,102] 37 root - INFO - Model Training Started
[2026-02-11 21:57:35,696] 49 root - INFO - Entered the save_object method of Mainutils class
[2026-02-11 21:57:35,704] 53 root - INFO - Exited the save_object method of Mainutils class
[2026-02-11 21:57:35,704] 127 root - INFO - Model trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9570367396105199, precision_score=0.9482792918241496, recall_score=0.9659574468085106), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9486970684039088, precision_score=0.9440842787682334, recall_score=0.953355155482815))
[2026-02-11 21:57:35,705] 41 root - INFO - Model training artifact created
